round,work_amount,round_duration
0,0,137192904501
1,0,106621868522
2,0,150280133403
3,0,118953876087
4,0,131397209288
5,0,124467916417
6,0,121413194216
7,0,126749868004
8,0,118866483111
9,0,129864365499
10,0,125227272055
11,0,124074438461
12,0,124750088172
13,0,125544598850
14,0,120481589125
15,0,137104639162
16,0,118417001807
17,0,131037448877
18,0,118884776040
19,0,131482305359
20,0,119455129653
21,0,131329919145
22,0,119522261873
23,0,129468767651
24,0,121753547785
25,0,129830302926
26,0,125510166315
27,0,126770976173
28,0,130322990922
29,0,123935095809
30,0,126263709819
31,0,125664870573
32,0,124010740743
33,0,125398065101
34,0,158683417510
35,0,118854690035
36,0,126598942942
37,0,131169574682
38,0,119470751196
39,0,130739682329
40,0,125071785490
41,0,119625112580
42,0,130987084208
43,0,119019697725
44,0,130934639841
45,0,124847421763
46,0,127290496203
47,0,125104790157
48,0,130302032840
49,0,131525338125
50,0,118269556117
51,0,131091979693
